Index,Episode,Step,Name,Channel,Position,Is Alive
0,0,0,Prey_20,"[0, 1, 1]","(3, 9)",True
1,0,0,Predador_4,"[1, 0, 1]","(8, 3)",True
2,0,0,Predador_9,"[1, 0, 1]","(6, 1)",True
3,0,0,Prey_13,"[0, 1, 1]","(9, 7)",True
4,0,0,Prey_6,"[0, 1, 1]","(1, 9)",True
5,0,0,Predador_7,"[1, 0, 1]","(5, 9)",True
6,0,0,Predador_11,"[1, 0, 1]","(0, 0)",True
7,0,0,Predador_3,"[1, 0, 1]","(4, 6)",True
8,0,0,Prey_5,"[0, 1, 1]","(1, 6)",True
9,0,0,Prey_24,"[0, 1, 1]","(3, 4)",True
10,0,0,Predador_0,"[1, 0, 1]","(1, 9)",True
11,0,0,Prey_9,"[0, 1, 1]","(1, 7)",True
12,0,0,Predador_10,"[1, 0, 1]","(3, 4)",True
13,0,0,Prey_17,"[0, 1, 1]","(0, 2)",True
14,0,0,Predador_12,"[1, 0, 1]","(5, 0)",True
15,0,0,Prey_3,"[0, 1, 1]","(0, 7)",True
16,0,0,Prey_14,"[0, 1, 1]","(9, 6)",True
17,0,0,Predador_6,"[1, 0, 1]","(2, 6)",True
18,0,0,Predador_8,"[1, 0, 1]","(6, 2)",True
19,0,0,Prey_23,"[0, 1, 1]","(3, 2)",True
20,0,0,Prey_2,"[0, 1, 1]","(8, 8)",True
21,0,0,Prey_22,"[0, 1, 1]","(7, 9)",True
22,0,0,Prey_1,"[0, 1, 1]","(0, 5)",True
23,0,0,Prey_16,"[0, 1, 1]","(4, 8)",True
24,0,0,Prey_19,"[0, 1, 1]","(9, 5)",True
25,0,0,Prey_21,"[0, 1, 1]","(5, 4)",True
26,0,0,Prey_0,"[0, 1, 1]","(4, 2)",True
27,0,0,Predador_1,"[1, 0, 1]","(0, 2)",True
28,0,0,Prey_26,"[0, 1, 1]","(9, 4)",True
29,0,0,Prey_28,"[0, 1, 1]","(5, 3)",True
30,0,0,Predador_5,"[1, 0, 1]","(5, 4)",True
31,0,0,Predador_13,"[1, 0, 1]","(1, 1)",True
32,0,0,Prey_7,"[0, 1, 1]","(8, 7)",True
33,0,0,Predador_2,"[1, 0, 1]","(3, 2)",True
34,0,1,Prey_20,"[0, 1, 1]","(2, 9)",True
35,0,1,Predador_4,"[1, 0, 1]","(9, 4)",True
36,0,1,Predador_9,"[1, 0, 1]","(5, 2)",True
37,0,1,Prey_13,"[0, 1, 1]","(9, 8)",True
38,0,1,Predador_7,"[1, 0, 1]","(4, 8)",True
39,0,1,Predador_11,"[1, 0, 1]","(0, 1)",True
40,0,1,Predador_3,"[1, 0, 1]","(3, 5)",True
41,0,1,Prey_5,"[0, 1, 1]","(0, 6)",True
42,0,1,Predador_0,"[1, 0, 1]","(2, 9)",True
43,0,1,Prey_9,"[0, 1, 1]","(1, 8)",True
44,0,1,Predador_10,"[1, 0, 1]","(2, 3)",True
45,0,1,Prey_25,"[0, 1, 1]","(7, 4)",True
46,0,1,Predador_12,"[1, 0, 1]","(4, 1)",True
47,0,1,Prey_3,"[0, 1, 1]","(1, 7)",True
48,0,1,Prey_14,"[0, 1, 1]","(8, 6)",True
49,0,1,Predador_6,"[1, 0, 1]","(1, 7)",True
50,0,1,Prey_2,"[0, 1, 1]","(9, 9)",True
51,0,1,Prey_22,"[0, 1, 1]","(8, 9)",True
52,0,1,Prey_1,"[0, 1, 1]","(1, 5)",True
53,0,1,Prey_19,"[0, 1, 1]","(9, 6)",True
54,0,1,Prey_0,"[0, 1, 1]","(3, 3)",True
55,0,1,Predador_1,"[1, 0, 1]","(1, 3)",True
56,0,1,Prey_8,"[0, 1, 1]","(0, 5)",True
57,0,1,Prey_28,"[0, 1, 1]","(6, 4)",True
58,0,1,Predador_5,"[1, 0, 1]","(6, 4)",True
59,0,1,Predador_13,"[1, 0, 1]","(2, 2)",True
60,0,1,Prey_7,"[0, 1, 1]","(9, 7)",True
61,0,1,Predador_2,"[1, 0, 1]","(3, 3)",True
62,0,2,Predador_4,"[1, 0, 1]","(9, 5)",True
63,0,2,Predador_9,"[1, 0, 1]","(6, 3)",True
64,0,2,Prey_13,"[0, 1, 1]","(8, 8)",True
65,0,2,Predador_7,"[1, 0, 1]","(5, 8)",True
66,0,2,Predador_11,"[1, 0, 1]","(0, 2)",True
67,0,2,Predador_3,"[1, 0, 1]","(2, 4)",True
68,0,2,Prey_5,"[0, 1, 1]","(1, 6)",True
69,0,2,Predador_0,"[1, 0, 1]","(1, 8)",True
70,0,2,Prey_27,"[0, 1, 1]","(8, 5)",True
71,0,2,Predador_10,"[1, 0, 1]","(1, 4)",True
72,0,2,Prey_25,"[0, 1, 1]","(7, 5)",True
73,0,2,Predador_12,"[1, 0, 0]","(5, 1)",True
74,0,2,Prey_14,"[0, 1, 1]","(8, 7)",True
75,0,2,Predador_6,"[1, 0, 1]","(1, 6)",True
76,0,2,Prey_2,"[0, 1, 1]","(9, 8)",True
77,0,2,Prey_22,"[0, 1, 1]","(9, 9)",True
78,0,2,Prey_1,"[0, 1, 1]","(2, 6)",True
79,0,2,Prey_19,"[0, 1, 1]","(8, 6)",True
