Index,Episode,Step,Name,Channel,Position,Is Alive
0,0,0,Predador_7,"[1, 0, 1]","(12, 16)",True
1,0,0,Prey_14,"[0, 1, 1]","(17, 14)",True
2,0,0,Predador_1,"[1, 0, 1]","(18, 9)",True
3,0,0,Prey_19,"[0, 0, 1]","(2, 3)",True
4,0,0,Prey_2,"[0, 1, 1]","(14, 18)",True
5,0,0,Prey_13,"[0, 1, 1]","(6, 4)",True
6,0,0,Prey_15,"[0, 0, 1]","(1, 3)",True
7,0,0,Predador_5,"[1, 0, 1]","(5, 7)",True
8,0,0,Prey_12,"[0, 1, 1]","(8, 7)",True
9,0,0,Prey_8,"[0, 1, 1]","(2, 7)",True
10,0,0,Predador_8,"[1, 0, 1]","(11, 19)",True
11,0,0,Prey_11,"[0, 1, 1]","(3, 4)",True
12,0,0,Prey_7,"[0, 1, 1]","(7, 10)",True
13,0,0,Prey_5,"[0, 1, 1]","(12, 18)",True
14,0,0,Prey_9,"[0, 0, 1]","(11, 2)",True
15,0,0,Predador_2,"[1, 0, 0]","(1, 12)",True
16,0,0,Prey_16,"[0, 0, 1]","(13, 3)",True
17,0,0,Predador_6,"[1, 0, 1]","(10, 9)",True
18,0,0,Predador_3,"[1, 0, 1]","(15, 13)",True
19,0,0,Prey_18,"[0, 1, 1]","(7, 2)",True
20,0,0,Prey_0,"[0, 1, 1]","(6, 5)",True
21,0,0,Predador_4,"[1, 0, 1]","(7, 2)",True
22,0,0,Prey_10,"[0, 1, 1]","(4, 4)",True
23,0,0,Predador_9,"[1, 0, 0]","(1, 18)",True
24,0,0,Prey_6,"[0, 1, 1]","(15, 11)",True
25,0,0,Prey_1,"[0, 1, 1]","(9, 17)",True
26,0,0,Predador_0,"[1, 0, 1]","(7, 17)",True
27,0,1,Predador_7,"[1, 0, 1]","(13, 17)",True
28,0,1,Prey_14,"[0, 1, 1]","(16, 15)",True
29,0,1,Predador_1,"[1, 0, 1]","(17, 8)",True
30,0,1,Prey_19,"[0, 0, 1]","(2, 2)",True
31,0,1,Prey_2,"[0, 1, 1]","(15, 17)",True
32,0,1,Prey_13,"[0, 1, 1]","(5, 3)",True
33,0,1,Prey_15,"[0, 1, 1]","(2, 4)",True
34,0,1,Predador_5,"[1, 0, 1]","(5, 6)",True
35,0,1,Prey_12,"[0, 1, 1]","(9, 6)",True
36,0,1,Prey_8,"[0, 0, 1]","(1, 7)",True
37,0,1,Predador_8,"[1, 0, 1]","(12, 18)",True
38,0,1,Prey_11,"[0, 1, 1]","(2, 3)",True
39,0,1,Prey_7,"[0, 1, 1]","(7, 11)",True
40,0,1,Prey_9,"[0, 1, 1]","(10, 2)",True
41,0,1,Predador_2,"[1, 0, 0]","(0, 11)",True
42,0,1,Prey_16,"[0, 0, 1]","(13, 4)",True
43,0,1,Predador_6,"[1, 0, 1]","(9, 10)",True
44,0,1,Predador_3,"[1, 0, 1]","(15, 12)",True
45,0,1,Prey_0,"[0, 1, 1]","(7, 5)",True
46,0,1,Predador_4,"[1, 0, 1]","(6, 1)",True
47,0,1,Prey_17,"[0, 0, 1]","(14, 2)",True
48,0,1,Prey_10,"[0, 1, 1]","(4, 3)",True
49,0,1,Predador_9,"[1, 0, 0]","(2, 19)",True
50,0,1,Prey_6,"[0, 1, 1]","(15, 10)",True
51,0,1,Prey_1,"[0, 1, 1]","(10, 16)",True
52,0,1,Predador_0,"[1, 0, 1]","(8, 18)",True
53,0,2,Predador_7,"[1, 0, 1]","(13, 17)",True
54,0,2,Prey_14,"[0, 1, 1]","(16, 14)",True
55,0,2,Predador_1,"[1, 0, 1]","(16, 9)",True
56,0,2,Prey_19,"[0, 0, 1]","(2, 1)",True
57,0,2,Prey_2,"[0, 1, 1]","(16, 16)",True
58,0,2,Prey_13,"[0, 1, 1]","(4, 2)",True
59,0,2,Prey_15,"[0, 1, 1]","(2, 5)",True
60,0,2,Predador_5,"[1, 0, 1]","(6, 5)",True
61,0,2,Prey_12,"[0, 1, 1]","(9, 5)",True
62,0,2,Prey_8,"[0, 1, 1]","(2, 8)",True
63,0,2,Predador_8,"[1, 0, 1]","(12, 18)",True
64,0,2,Prey_11,"[0, 0, 1]","(2, 2)",True
65,0,2,Prey_7,"[0, 1, 1]","(6, 12)",True
66,0,2,Prey_9,"[0, 1, 1]","(9, 1)",True
67,0,2,Predador_2,"[1, 0, 1]","(1, 12)",True
68,0,2,Prey_16,"[0, 0, 1]","(13, 3)",True
69,0,2,Predador_6,"[1, 0, 1]","(8, 9)",True
70,0,2,Predador_3,"[1, 0, 1]","(15, 11)",True
71,0,2,Prey_0,"[0, 1, 1]","(7, 4)",True
72,0,2,Predador_4,"[1, 0, 1]","(5, 0)",True
73,0,2,Prey_17,"[0, 0, 1]","(14, 3)",True
74,0,2,Prey_10,"[0, 1, 1]","(3, 4)",True
75,0,2,Predador_9,"[1, 0, 0]","(1, 18)",True
76,0,2,Prey_6,"[0, 1, 1]","(14, 9)",True
77,0,2,Prey_1,"[0, 1, 1]","(9, 15)",True
78,0,2,Predador_0,"[1, 0, 0]","(9, 19)",True
79,0,3,Predador_7,"[1, 0, 1]","(13, 17)",True
80,0,3,Prey_14,"[0, 1, 1]","(16, 13)",True
81,0,3,Predador_1,"[1, 0, 1]","(15, 10)",True
82,0,3,Prey_19,"[0, 1, 1]","(3, 2)",True
83,0,3,Prey_2,"[0, 1, 1]","(16, 15)",True
84,0,3,Prey_13,"[0, 1, 1]","(4, 3)",True
85,0,3,Prey_15,"[0, 0, 1]","(2, 4)",True
86,0,3,Predador_5,"[1, 0, 1]","(7, 4)",True
87,0,3,Prey_12,"[0, 1, 1]","(9, 6)",True
88,0,3,Prey_8,"[0, 1, 1]","(2, 7)",True
89,0,3,Predador_8,"[1, 0, 1]","(12, 18)",True
90,0,3,Prey_11,"[0, 1, 1]","(2, 3)",True
91,0,3,Prey_7,"[0, 1, 1]","(6, 11)",True
