Index,Episode,Step,Name,Channel,Position,Is Alive
0,0,0,Prey_6,"[0, 1, 1]","(19, 6)",True
1,0,0,Prey_44,"[0, 1, 1]","(7, 0)",True
2,0,0,Predador_18,"[1, 0, 1]","(17, 15)",True
3,0,0,Prey_39,"[0, 1, 1]","(19, 17)",True
4,0,0,Prey_38,"[0, 1, 1]","(7, 7)",True
5,0,0,Prey_35,"[0, 0, 1]","(1, 16)",True
6,0,0,Predador_12,"[1, 0, 1]","(7, 3)",True
7,0,0,Predador_15,"[1, 0, 1]","(13, 17)",True
8,0,0,Prey_34,"[0, 1, 1]","(12, 5)",True
9,0,0,Predador_9,"[1, 0, 1]","(16, 13)",True
10,0,0,Predador_8,"[1, 0, 1]","(6, 18)",True
11,0,0,Prey_8,"[0, 1, 1]","(3, 11)",True
12,0,0,Prey_49,"[0, 1, 1]","(11, 13)",True
13,0,0,Predador_2,"[1, 0, 1]","(11, 13)",True
14,0,0,Prey_30,"[0, 1, 1]","(3, 0)",True
15,0,0,Prey_1,"[0, 1, 1]","(10, 6)",True
16,0,0,Prey_46,"[0, 1, 1]","(4, 8)",True
17,0,0,Predador_11,"[1, 0, 1]","(16, 12)",True
18,0,0,Prey_18,"[0, 1, 1]","(7, 14)",True
19,0,0,Prey_5,"[0, 1, 1]","(4, 0)",True
20,0,0,Prey_21,"[0, 1, 1]","(8, 8)",True
21,0,0,Prey_0,"[0, 1, 1]","(8, 1)",True
22,0,0,Prey_40,"[0, 1, 1]","(9, 4)",True
23,0,0,Prey_42,"[0, 1, 1]","(12, 0)",True
24,0,0,Predador_16,"[1, 0, 1]","(5, 2)",True
25,0,0,Prey_28,"[0, 1, 1]","(0, 10)",True
26,0,0,Predador_3,"[1, 0, 1]","(12, 18)",True
27,0,0,Predador_4,"[1, 0, 1]","(6, 14)",True
28,0,0,Prey_19,"[0, 1, 1]","(4, 7)",True
29,0,0,Prey_33,"[0, 1, 1]","(10, 17)",True
30,0,0,Predador_17,"[1, 0, 1]","(17, 12)",True
31,0,0,Prey_25,"[0, 0, 1]","(6, 10)",True
32,0,0,Prey_41,"[0, 0, 1]","(0, 12)",True
33,0,0,Prey_27,"[0, 0, 1]","(0, 4)",True
34,0,0,Prey_16,"[0, 1, 1]","(3, 19)",True
35,0,0,Prey_45,"[0, 1, 1]","(15, 0)",True
36,0,0,Prey_7,"[0, 1, 1]","(10, 3)",True
37,0,0,Predador_6,"[1, 0, 1]","(18, 17)",True
38,0,0,Prey_48,"[0, 0, 1]","(1, 14)",True
39,0,0,Prey_32,"[0, 0, 1]","(19, 0)",True
40,0,0,Prey_22,"[0, 1, 1]","(16, 6)",True
41,0,0,Prey_14,"[0, 1, 1]","(19, 8)",True
42,0,0,Prey_43,"[0, 1, 1]","(2, 4)",True
43,0,0,Prey_17,"[0, 0, 1]","(6, 8)",True
44,0,0,Prey_20,"[0, 1, 1]","(3, 3)",True
45,0,0,Prey_2,"[0, 1, 1]","(1, 6)",True
46,0,0,Predador_10,"[1, 0, 1]","(19, 8)",True
47,0,0,Predador_14,"[1, 0, 1]","(10, 6)",True
48,0,0,Prey_11,"[0, 1, 1]","(16, 0)",True
49,0,0,Prey_4,"[0, 1, 1]","(5, 12)",True
50,0,0,Predador_19,"[1, 0, 1]","(12, 0)",True
51,0,0,Predador_5,"[1, 0, 1]","(2, 9)",True
52,0,0,Prey_12,"[0, 1, 1]","(18, 7)",True
53,0,0,Prey_23,"[0, 1, 1]","(10, 0)",True
54,0,0,Predador_7,"[1, 0, 1]","(10, 0)",True
55,0,0,Prey_31,"[0, 1, 1]","(12, 9)",True
56,0,0,Prey_26,"[0, 1, 1]","(8, 10)",True
57,0,0,Predador_13,"[1, 0, 1]","(13, 8)",True
58,0,0,Prey_37,"[0, 1, 1]","(14, 13)",True
59,0,1,Prey_6,"[0, 1, 1]","(18, 6)",True
60,0,1,Prey_44,"[0, 1, 1]","(6, 0)",True
61,0,1,Predador_18,"[1, 0, 1]","(18, 16)",True
62,0,1,Prey_39,"[0, 1, 1]","(18, 18)",True
63,0,1,Prey_38,"[0, 1, 1]","(7, 6)",True
64,0,1,Prey_35,"[0, 0, 1]","(0, 17)",True
65,0,1,Predador_12,"[1, 0, 1]","(6, 2)",True
66,0,1,Predador_15,"[1, 0, 1]","(13, 16)",True
67,0,1,Prey_34,"[0, 1, 1]","(11, 4)",True
68,0,1,Predador_9,"[1, 0, 1]","(15, 13)",True
69,0,1,Predador_8,"[1, 0, 1]","(7, 17)",True
70,0,1,Prey_8,"[0, 1, 1]","(2, 11)",True
71,0,1,Predador_2,"[1, 0, 1]","(12, 12)",True
72,0,1,Predador_1,"[1, 0, 0]","(18, 12)",True
73,0,1,Prey_30,"[0, 1, 1]","(2, 1)",True
74,0,1,Prey_46,"[0, 1, 1]","(5, 9)",True
75,0,1,Predador_11,"[1, 0, 1]","(15, 12)",True
76,0,1,Prey_18,"[0, 1, 1]","(8, 15)",True
77,0,1,Prey_5,"[0, 1, 1]","(3, 1)",True
78,0,1,Prey_21,"[0, 1, 1]","(9, 9)",True
79,0,1,Prey_0,"[0, 1, 1]","(7, 1)",True
80,0,1,Prey_40,"[0, 1, 1]","(8, 5)",True
81,0,1,Predador_16,"[1, 0, 1]","(4, 1)",True
82,0,1,Prey_28,"[0, 1, 1]","(0, 9)",True
83,0,1,Predador_3,"[1, 0, 1]","(11, 17)",True
84,0,1,Predador_4,"[1, 0, 1]","(5, 13)",True
85,0,1,Prey_19,"[0, 1, 1]","(3, 6)",True
86,0,1,Prey_33,"[0, 1, 1]","(9, 17)",True
87,0,1,Predador_17,"[1, 0, 1]","(16, 13)",True
88,0,1,Prey_25,"[0, 1, 1]","(6, 11)",True
89,0,1,Prey_41,"[0, 1, 1]","(0, 11)",True
90,0,1,Prey_27,"[0, 0, 1]","(0, 3)",True
91,0,1,Prey_16,"[0, 0, 1]","(2, 19)",True
92,0,1,Prey_45,"[0, 1, 1]","(14, 0)",True
93,0,1,Prey_7,"[0, 1, 1]","(9, 2)",True
94,0,1,Predador_6,"[1, 0, 0]","(18, 18)",True
95,0,1,Prey_32,"[0, 0, 1]","(19, 1)",True
96,0,1,Prey_22,"[0, 1, 1]","(15, 6)",True
97,0,1,Prey_43,"[0, 1, 1]","(1, 4)",True
98,0,1,Prey_17,"[0, 1, 1]","(5, 8)",True
99,0,1,Prey_20,"[0, 1, 1]","(2, 3)",True
100,0,1,Prey_2,"[0, 1, 1]","(0, 6)",True
101,0,1,Predador_10,"[1, 0, 1]","(18, 7)",True
