simulacao;nome;category;algorithm;type;[PREY]: total de done;[PREDATOR]: total de done;[SOMA]: total de done;[PREY]: media escapes done;[PREDATOR]: media captures done;[SOMA]: media de done;[PREY]: harmonica escapes done;[PREDATOR]: harmonica captures done;[PREY]: mediana escapes done;[PREDATOR]: mediana captures done;[PREY]: dvp escapes done;[PREDATOR]: dvp captures done;[PREY]: media proximidade aliados;[PREDATOR]: media proximidade aliados;[SOMA]: media proximidade aliados;[PREY]: media efetividade aliados;[PREDATOR]: media efetividade aliados;[SOMA]: media efetividade aliados;[PREY]: media coordenadas unicas;[PREDATOR]: media coordenadas unicas;[SOMA]: media coordenadas unicas;[PREY]: media coordenadas;[PREDATOR]: media coordenadas;[SOMA]: media coordenadas
sim_nn_dqn_double_sz10_s10_py10_pd5_o0.1_prqipyqi;model_nn_double;padrao;double;tradicional;338;539;877;3,596;5,39;8,986;0,299;0,559;0,333;0,556;0,215;0,142;1,068;1,05;2,118;3,367;5,133;8,5;37,71;26,72;64,43;6493;5000;11493
sim_nn_dqn_double_sz10_s10_py15_pd10_o0.3_prqipyqi;model_nn_double;denso_restrito;double;tradicional;132;1088;1220;2,491;10,88;13,371;0,179;1,181;0,222;1,222;0,197;0,175;1,112;1,201;2,313;2,24;9,059;11,299;33,29;34,56;67,85;7078;10000;17078
sim_nn_dqn_double_sz20_s10_py15_pd10_o0.05_prqipyqi;model_nn_double;extensivo_escasso;double;tradicional;826;651;1477;8,26;6,51;14,77;0,815;0,664;0,889;0,667;0,281;0,189;1,144;1,078;2,222;7,22;6,039;13,259;73,85;66,86;140,71;11160;10000;21160
sim_nn_dqn_dueling_sz10_s10_py10_pd5_o0.1_prqipyqi;model_nn_dueling;padrao;dueling;tradicional;662;225;887;6,755;2,296;9,051;0,506;0,199;0,667;0,222;0,379;0,127;1,212;1,065;2,277;5,573;2,156;7,729;25,99;17,57;43,56;8379;5000;13379
sim_nn_dqn_dueling_sz10_s10_py15_pd10_o0.3_prqipyqi;model_nn_dueling;denso_restrito;dueling;tradicional;213;592;805;3,381;5,98;9,361;0,235;0,583;0,333;0,667;0,233;0,22;1,08;1,208;2,288;3,131;4,95;8,081;26,04;24,58;50,62;10720;10000;20720
sim_nn_dqn_dueling_sz20_s10_py15_pd10_o0.05_prqipyqi;model_nn_dueling;extensivo_escasso;dueling;tradicional;1213;230;1443;12,13;2,473;14,603;1,23;0,21;1,333;0,222;0,418;0,135;1,18;1,111;2,291;10,28;2,226;12,506;68,1;47,9;116;13612;10000;23612
sim_nn_dqn_per_sz10_s10_py10_pd5_o0.1_prqipyqi;model_nn_per;padrao;per;tradicional;595;255;850;6,398;2,602;9;0,43;0,227;0,667;0,333;0,387;0,126;1,127;1,04;2,167;5,677;2,502;8,179;21,53;12,05;33,58;8049;5000;13049
sim_nn_dqn_per_sz10_s10_py15_pd10_o0.3_prqipyqi;model_nn_per;denso_restrito;per;tradicional;208;561;769;4,16;5,61;9,77;0,278;0,54;0,389;0,667;0,325;0,204;1,245;1,085;2,33;3,341;5,171;8,512;23,27;19,03;42,3;10393;10000;20393
sim_nn_dqn_per_sz20_s10_py15_pd10_o0.05_prqipyqi;model_nn_per;extensivo_escasso;per;tradicional;1168;318;1486;11,68;3,18;14,86;1,064;0,276;1,278;0,333;0,477;0,152;1,133;1,066;2,199;10,309;2,983;13,292;55,58;34,31;89,89;12850;10000;22850
sim_nn_dqn_sz10_s10_py10_pd5_o0.1_prqipyqi;model_nn_dqn;padrao;dqn;tradicional;632;309;941;6,384;3,219;9,603;0,5;0,27;0,667;0,333;0,355;0,171;1,215;1,066;2,281;5,254;3,02;8,274;32,64;26,11;58,75;7916;5000;12916
sim_nn_dqn_sz10_s10_py15_pd10_o0.3_prqipyqi;model_nn_dqn;denso_restrito;dqn;tradicional;183;678;861;2,773;6,78;9,553;0,193;0,637;0,222;0,778;0,23;0,246;1,15;1,164;2,314;2,411;5,825;8,236;28,88;30,29;59,17;10122;10000;20122
sim_nn_dqn_sz20_s10_py15_pd10_o0.05_prqipyqi;model_nn_dqn;extensivo_escasso;dqn;tradicional;1282;285;1567;12,82;3,065;15,885;1,325;0,272;1,444;0,333;0,372;0,154;1,221;1,094;2,315;10,5;2,802;13,302;79,48;68,18;147,66;13175;10000;23175
