Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 0.90, Median Loss: 0.90, Std Loss: 0.90, Mean Reward: -2.66, Median Reward: 0.00, Std Reward: -237.00
Episode: 1, step: 9, Pop: 8/5, Epsilon: 1.00, Mean Loss: 1.01, Median Loss: 1.01, Std Loss: 1.01, Mean Reward: -0.86, Median Reward: 0.00, Std Reward: -82.90
Episode: 2, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 1.12, Median Loss: 1.12, Std Loss: 1.12, Mean Reward: 0.72, Median Reward: 2.00, Std Reward: 69.40
Episode: 3, step: 9, Pop: 7/5, Epsilon: 0.99, Mean Loss: 1.02, Median Loss: 1.02, Std Loss: 1.02, Mean Reward: 1.73, Median Reward: 2.00, Std Reward: 148.80
Episode: 4, step: 9, Pop: 9/5, Epsilon: 0.98, Mean Loss: 0.70, Median Loss: 0.70, Std Loss: 0.70, Mean Reward: -0.97, Median Reward: 1.00, Std Reward: -93.00
Episode: 5, step: 9, Pop: 7/5, Epsilon: 0.98, Mean Loss: 0.82, Median Loss: 0.82, Std Loss: 0.82, Mean Reward: -2.08, Median Reward: 0.00, Std Reward: -177.10
Episode: 6, step: 9, Pop: 6/5, Epsilon: 0.98, Mean Loss: 0.95, Median Loss: 0.95, Std Loss: 0.95, Mean Reward: 1.18, Median Reward: 2.00, Std Reward: 92.10
Episode: 7, step: 9, Pop: 6/5, Epsilon: 0.97, Mean Loss: 1.58, Median Loss: 1.58, Std Loss: 1.58, Mean Reward: -0.94, Median Reward: 0.00, Std Reward: -68.60
Episode: 8, step: 9, Pop: 7/5, Epsilon: 0.97, Mean Loss: 1.01, Median Loss: 1.01, Std Loss: 1.01, Mean Reward: -0.54, Median Reward: 0.00, Std Reward: -44.70
Episode: 9, step: 9, Pop: 3/5, Epsilon: 0.97, Mean Loss: 1.03, Median Loss: 1.03, Std Loss: 1.03, Mean Reward: -1.33, Median Reward: 0.00, Std Reward: -68.00
Episode: 10, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 1.44, Median Loss: 1.44, Std Loss: 1.44, Mean Reward: 0.37, Median Reward: 2.00, Std Reward: 33.60
Episode: 11, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 0.80, Median Loss: 0.80, Std Loss: 0.80, Mean Reward: -0.62, Median Reward: 1.00, Std Reward: -53.60
Episode: 12, step: 9, Pop: 5/5, Epsilon: 0.96, Mean Loss: 1.01, Median Loss: 1.01, Std Loss: 1.01, Mean Reward: -0.91, Median Reward: 0.00, Std Reward: -72.50
Episode: 13, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 0.93, Median Loss: 0.93, Std Loss: 0.93, Mean Reward: 0.58, Median Reward: 2.00, Std Reward: 50.40
Episode: 14, step: 9, Pop: 8/5, Epsilon: 0.95, Mean Loss: 1.06, Median Loss: 1.06, Std Loss: 1.06, Mean Reward: -2.54, Median Reward: -6.00, Std Reward: -210.80
Episode: 15, step: 9, Pop: 8/5, Epsilon: 0.94, Mean Loss: 1.04, Median Loss: 1.04, Std Loss: 1.04, Mean Reward: 0.42, Median Reward: 1.00, Std Reward: 35.90
Episode: 16, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 0.66, Median Loss: 0.66, Std Loss: 0.66, Mean Reward: 0.46, Median Reward: 2.00, Std Reward: 37.20
Episode: 17, step: 9, Pop: 9/5, Epsilon: 0.94, Mean Loss: 0.89, Median Loss: 0.89, Std Loss: 0.89, Mean Reward: -1.37, Median Reward: -5.00, Std Reward: -133.00
Episode: 18, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 0.77, Median Loss: 0.77, Std Loss: 0.77, Mean Reward: -2.10, Median Reward: -6.00, Std Reward: -165.60
Episode: 19, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 0.63, Median Loss: 0.63, Std Loss: 0.63, Mean Reward: 1.55, Median Reward: 2.00, Std Reward: 122.10
Episode: 20, step: 9, Pop: 6/5, Epsilon: 0.93, Mean Loss: 1.09, Median Loss: 1.09, Std Loss: 1.09, Mean Reward: -1.08, Median Reward: 0.00, Std Reward: -98.70
Episode: 21, step: 9, Pop: 9/5, Epsilon: 0.92, Mean Loss: 1.00, Median Loss: 1.00, Std Loss: 1.00, Mean Reward: 0.51, Median Reward: 2.00, Std Reward: 50.60
Episode: 22, step: 9, Pop: 7/5, Epsilon: 0.92, Mean Loss: 1.32, Median Loss: 1.32, Std Loss: 1.32, Mean Reward: -0.73, Median Reward: 0.00, Std Reward: -60.10
Episode: 23, step: 9, Pop: 6/5, Epsilon: 0.92, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: 0.27, Median Reward: 0.00, Std Reward: 20.00
Episode: 24, step: 9, Pop: 6/5, Epsilon: 0.91, Mean Loss: 1.26, Median Loss: 1.26, Std Loss: 1.26, Mean Reward: -1.30, Median Reward: 0.00, Std Reward: -108.10
Episode: 25, step: 9, Pop: 6/5, Epsilon: 0.91, Mean Loss: 1.30, Median Loss: 1.30, Std Loss: 1.30, Mean Reward: -0.36, Median Reward: 0.00, Std Reward: -26.50
Episode: 26, step: 9, Pop: 6/5, Epsilon: 0.91, Mean Loss: 1.04, Median Loss: 1.04, Std Loss: 1.04, Mean Reward: 0.24, Median Reward: 0.00, Std Reward: 18.70
