Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 0.62, Median Loss: 0.62, Std Loss: 0.62, Mean Reward: -1.93, Median Reward: 0.25, Std Reward: -96.50
Episode: 1, step: 9, Pop: 7/5, Epsilon: 0.99, Mean Loss: 1.07, Median Loss: 1.07, Std Loss: 1.07, Mean Reward: -1.35, Median Reward: 0.95, Std Reward: -67.50
Episode: 2, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 0.96, Median Loss: 0.96, Std Loss: 0.96, Mean Reward: -0.67, Median Reward: 0.45, Std Reward: -33.40
Episode: 3, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 0.85, Median Loss: 0.85, Std Loss: 0.85, Mean Reward: -1.12, Median Reward: 0.70, Std Reward: -56.00
Episode: 4, step: 9, Pop: 6/5, Epsilon: 0.98, Mean Loss: 0.89, Median Loss: 0.89, Std Loss: 0.89, Mean Reward: -1.14, Median Reward: 0.95, Std Reward: -57.00
Episode: 5, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 0.61, Median Loss: 0.61, Std Loss: 0.61, Mean Reward: -1.55, Median Reward: 0.95, Std Reward: -77.50
Episode: 6, step: 9, Pop: 7/5, Epsilon: 0.97, Mean Loss: 0.81, Median Loss: 0.81, Std Loss: 0.81, Mean Reward: -2.21, Median Reward: 0.45, Std Reward: -110.50
Episode: 7, step: 9, Pop: 9/5, Epsilon: 0.97, Mean Loss: 0.63, Median Loss: 0.63, Std Loss: 0.63, Mean Reward: -1.48, Median Reward: 0.95, Std Reward: -74.00
Episode: 8, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 0.64, Median Loss: 0.64, Std Loss: 0.64, Mean Reward: -1.81, Median Reward: 0.45, Std Reward: -90.40
Episode: 9, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 0.76, Median Loss: 0.76, Std Loss: 0.76, Mean Reward: -1.71, Median Reward: -0.05, Std Reward: -85.50
Episode: 10, step: 9, Pop: 6/5, Epsilon: 0.96, Mean Loss: 0.71, Median Loss: 0.71, Std Loss: 0.71, Mean Reward: -0.67, Median Reward: 0.95, Std Reward: -33.50
