Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 1.53, Median Loss: 1.53, Std Loss: 1.53, Mean Reward: 3.02, Median Reward: 2.00, Std Reward: 226.70
Episode: 1, step: 9, Pop: 7/5, Epsilon: 0.99, Mean Loss: 0.99, Median Loss: 0.99, Std Loss: 0.99, Mean Reward: -1.02, Median Reward: 0.00, Std Reward: -79.60
Episode: 2, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 1.44, Median Loss: 1.44, Std Loss: 1.44, Mean Reward: 0.14, Median Reward: 2.00, Std Reward: 10.50
Episode: 3, step: 9, Pop: 7/5, Epsilon: 0.98, Mean Loss: 1.06, Median Loss: 1.06, Std Loss: 1.06, Mean Reward: 0.54, Median Reward: 2.00, Std Reward: 45.60
Episode: 4, step: 9, Pop: 6/5, Epsilon: 0.98, Mean Loss: 0.92, Median Loss: 0.92, Std Loss: 0.92, Mean Reward: 0.24, Median Reward: 2.00, Std Reward: 18.40
Episode: 5, step: 9, Pop: 9/5, Epsilon: 0.98, Mean Loss: 1.61, Median Loss: 1.61, Std Loss: 1.61, Mean Reward: 1.93, Median Reward: 2.00, Std Reward: 181.80
Episode: 6, step: 9, Pop: 7/5, Epsilon: 0.97, Mean Loss: 1.47, Median Loss: 1.47, Std Loss: 1.47, Mean Reward: 0.39, Median Reward: 1.00, Std Reward: 30.90
Episode: 7, step: 9, Pop: 6/5, Epsilon: 0.97, Mean Loss: 1.31, Median Loss: 1.31, Std Loss: 1.31, Mean Reward: 1.95, Median Reward: 2.00, Std Reward: 167.80
Episode: 8, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 0.99, Median Loss: 0.99, Std Loss: 0.99, Mean Reward: 1.59, Median Reward: 2.00, Std Reward: 133.20
Episode: 9, step: 9, Pop: 9/5, Epsilon: 0.96, Mean Loss: 2.08, Median Loss: 2.08, Std Loss: 2.08, Mean Reward: 1.78, Median Reward: 2.00, Std Reward: 161.90
Episode: 10, step: 9, Pop: 6/5, Epsilon: 0.96, Mean Loss: 1.95, Median Loss: 1.95, Std Loss: 1.95, Mean Reward: 0.47, Median Reward: 2.00, Std Reward: 35.90
Episode: 11, step: 9, Pop: 8/5, Epsilon: 0.95, Mean Loss: 1.16, Median Loss: 1.16, Std Loss: 1.16, Mean Reward: 0.63, Median Reward: 2.00, Std Reward: 57.70
Episode: 12, step: 9, Pop: 8/5, Epsilon: 0.95, Mean Loss: 1.28, Median Loss: 1.28, Std Loss: 1.28, Mean Reward: -0.61, Median Reward: 0.00, Std Reward: -57.50
